,slope,length_m,length (m)
0,1e-05,480.7076931,480.7076931
1,0.00438547,359.918457,840.6261500999999
2,0.00104831,5593.82997,6434.4561201
3,0.00053581,5242.109483,11676.5656031
4,0.00040322,248.4365726,11925.0021757
5,0.00035474,2549.891093,14474.8932687
6,0.00030973,454.5634043,14929.456673
7,0.00027227,807.0598022,15736.5164752
8,0.00043618,614.0669487,16350.5834239
9,0.00034329,2458.424915,18809.0083389
10,0.00030862,2968.367712,21777.3760509
11,0.00032571,2049.04781,23826.4238609
12,1e-05,405.5372754,24231.9611363
13,0.0003059,2316.009874,26547.9710103
14,0.00010752,187.2822251,26735.2532354
15,0.00013914,1080.114552,27815.3677874
16,0.00031746,62.163629,27877.531416399997
17,0.00012401,884.3718647,28761.903281099996
18,0.00010224,485.7946286,29247.697909699997
19,5.24e-05,1150.884275,30398.582184699997
20,0.00080088,1371.109728,31769.691912699996
21,1e-05,111.8695535,31881.561466199997
22,0.00012307,647.5241557,32529.085621899998
23,0.00242857,69.66079305,32598.746414949997
24,0.00027729,1729.818642,34328.56505695
25,0.00013289,299.8288704,34628.39392735
26,1e-05,514.9726851,35143.36661245
27,1e-05,988.4925721,36131.859184550005
28,1e-05,2101.525917,38233.385101550004
29,1e-05,523.5965878,38756.98168935
30,1e-05,278.8820588,39035.863748150005
31,1e-05,1511.278757,40547.142505150005
32,1e-05,171.2363484,40718.378853550006
33,1e-05,1057.674709,41776.053562550005
34,1e-05,1349.875349,43125.92891155001
35,1e-05,458.6865144,43584.61542595
36,1e-05,433.3583565,44017.973782450004
37,1e-05,1071.967965,45089.94174745001
38,6.44e-05,1867.760906,46957.70265345001
39,1e-05,566.4445325,47524.14718595001
40,1e-05,268.7687418,47792.91592775001
41,1e-05,375.4794424,48168.39537015001
42,0.00539823,898.4396565,49066.835026650006
43,0.00033182,660.2744416,49727.109468250004
44,0.00013786,1090.679616,50817.789084250006
45,1e-05,131.6881013,50949.47718555001
46,1e-05,1096.139467,52045.61665255001
47,1e-05,290.5335821,52336.150234650006
48,1e-05,218.2588881,52554.40912275
49,1e-05,724.2628596,53278.67198235
50,1e-05,33.99826584,53312.67024819
51,1e-05,531.1396914,53843.80993959
52,1e-05,563.5509596,54407.36089919
53,1e-05,465.4370729,54872.79797209
54,1e-05,427.8381675,55300.636139589995
55,1e-05,689.8021588,55990.43829838999
56,1e-05,143.9255386,56134.36383698999
57,1e-05,369.2933063,56503.657143289995
58,1e-05,71.09793435,56574.755077639995
59,1e-05,864.9049889,57439.66006654
60,1e-05,493.3546073,57933.01467384
61,1e-05,124.7478391,58057.76251294
62,1e-05,728.1485197,58785.91103264
63,1e-05,719.2381953,59505.14922794
64,1e-05,286.9933565,59792.14258444
65,1e-05,573.8594469,60366.00203134
66,1e-05,829.4797533,61195.481784640004
67,1e-05,170.6002635,61366.08204814
68,1e-05,434.269255,61800.35130314
69,1e-05,60.44741535,61860.79871849
70,1e-05,18.93583823,61879.734556719995
71,1e-05,320.3237836,62200.05834031999
72,1e-05,282.0798364,62482.13817671999
73,1e-05,3929.958082,66412.09625871999
74,1e-05,1126.138587,67538.23484571998
75,1e-05,148.8883583,67687.12320401998
76,1e-05,347.1630743,68034.28627831998
77,1e-05,154.4326943,68188.71897261999
78,1e-05,472.9113883,68661.63036091998
79,1e-05,257.4700582,68919.10041911998
80,1e-05,685.2478766,69604.34829571997
81,1e-05,529.0227802,70133.37107591997
82,1e-05,370.8518531,70504.22292901998
83,1e-05,1294.010143,71798.23307201998
84,1e-05,392.3698814,72190.60295341998
85,1e-05,720.3080557,72910.91100911998
86,1e-05,228.4782014,73139.38921051998
87,1e-05,1772.494607,74911.88381751998
88,0.02006493,305.8201304,75217.70394791997
89,1e-05,529.0938922,75746.79784011998
90,0.00021834,921.0111471,76667.80898721998
91,1e-05,2060.030735,78727.83972221997
92,1e-05,23.54499023,78751.38471244997
93,1e-05,180.7474834,78932.13219584998
94,1e-05,370.1573669,79302.28956274998
95,1e-05,410.795543,79713.08510574998
96,1e-05,160.3289235,79873.41402924998
97,1e-05,605.1419411,80478.55597034997
98,1e-05,697.6525452,81176.20851554998
99,1e-05,573.4877984,81749.69631394999
100,1e-05,549.7564379,82299.45275184998
101,1e-05,926.4301839,83225.88293574998
102,0.00161943,491.0977454,83716.98068114997
103,0.00043429,900.5549851,84617.53566624997
104,0.00067102,1697.137103,86314.67276924997
105,0.00029059,6448.161796,92762.83456524997
106,1e-05,546.4920458,93309.32661104997
107,0.00035929,3309.001515,96618.32812604996
108,1e-05,4267.183652,100885.51177804996
109,1e-05,1319.075179,102204.58695704996
110,0.00071305,3492.987517,105697.57447404996
111,1e-05,194.2812678,105891.85574184997
112,1e-05,125.0078175,106016.86355934996
113,1e-05,50.74903818,106067.61259752997
114,0.00102702,185.2392841,106252.85188162996
115,1e-05,27.22335081,106280.07523243997
116,1e-05,468.8784993,106748.95373173997
117,1e-05,344.4728862,107093.42661793997
118,1e-05,177.7081756,107271.13479353997
119,1e-05,272.3794909,107543.51428443997
120,1e-05,2933.526565,110477.04084943997
121,1e-05,306.3455826,110783.38643203997
122,1e-05,320.4834976,111103.86992963997
123,1e-05,155.2948673,111259.16479693998
124,1e-05,313.87096,111573.03575693998
125,1e-05,258.2092976,111831.24505453998
126,1e-05,641.6430598,112472.88811433998
127,0.0016787,548.4770935,113021.36520783998
128,1e-05,1086.966307,114108.33151483997
129,1e-05,212.3452619,114320.67677673997
130,1e-05,222.010702,114542.68747873997
131,1e-05,43.91524106,114586.60271979998
132,1e-05,73.95521435,114660.55793414998
133,1e-05,2676.632004,117337.18993814998
134,1e-05,155.3033085,117492.49324664999
135,1e-05,1134.67725,118627.17049664998
136,1e-05,428.1666967,119055.33719334999
137,1e-05,187.9904646,119243.32765795
138,1e-05,297.7818751,119541.10953305
139,1e-05,641.6555737,120182.76510675
140,1e-05,179.3293219,120362.09442865
141,1e-05,89.68562894,120451.78005759
142,1e-05,1554.298417,122006.07847459
143,1e-05,258.5491508,122264.62762539
144,1e-05,288.5111483,122553.13877368999
145,1e-05,1304.923885,123858.06265868999
146,1e-05,233.7323952,124091.79505388999
147,1e-05,309.3671769,124401.16223079
148,1e-05,380.4912556,124781.65348639
149,1e-05,420.3654449,125202.01893129
150,1e-05,1025.548815,126227.56774629
151,1e-05,773.7924327,127001.36017899
152,1e-05,286.2921396,127287.65231859
153,0.00134191,541.9770503,127829.62936889
154,1e-05,453.2699578,128282.89932669
155,0.00425619,487.594972,128770.49429869001
156,1e-05,534.7782295,129305.27252819002
157,0.00040896,1781.269651,131086.54217919003
158,1e-05,2144.659361,133231.20154019003
159,1e-05,3556.312925,136787.51446519003
160,1.76e-05,5691.959673,142479.47413819004
161,1e-05,4861.798758,147341.27289619003
162,0.00407272,551.4697131,147892.74260929003
163,1.71e-05,588.5703847,148481.31299399002
164,1e-05,4103.803177,152585.11617099002
165,1e-05,786.0840988,153371.20026979002
166,4.33e-05,4364.161327,157735.36159679003
167,1e-05,1196.299222,158931.66081879003
168,1e-05,146.9892431,159078.65006189002
169,1e-05,1660.630554,160739.28061589002
170,1e-05,558.9913438,161298.27195969003
171,0.00086188,960.2960226,162258.56798229003
172,1e-05,4761.106675,167019.67465729002
173,1e-05,1145.144537,168164.81919429
174,0.00100488,2444.02609,170608.84528429
175,1.02e-05,8854.422294,179463.26757829
176,1e-05,4372.748216,183836.01579429
177,2.16e-05,5060.178885,188896.19467929
178,0.00405217,1153.09556,190049.29023928999
179,0.00225806,1417.995955,191467.28619428998
180,1e-05,7401.491379,198868.77757329
181,1e-05,683.374089,199552.15166228998
182,0.00020883,6601.89648,206154.04814228998
183,1e-05,1332.866921,207486.91506328998
184,1e-05,386.4775901,207873.39265338998
185,1e-05,858.8138203,208732.20647369
186,1e-05,40.00376816,208772.21024185
187,0.00259086,1929.791204,210702.00144585
188,1e-05,1470.954146,212172.95559185
189,1e-05,302.0033296,212474.95892145002
190,0.00114606,883.614185,213358.57310645003
191,0.0014357,1601.406801,214959.97990745003
192,1e-05,2283.550846,217243.53075345003
193,0.00076238,787.6487707,218031.17952415004
194,1e-05,605.4016324,218636.58115655003
195,0.01552795,322.6628979,218959.24405445004
196,0.00113024,3188.634363,222147.87841745003
197,0.0019185,588.2488507,222736.12726815004
198,0.00179795,1655.592444,224391.71971215005
199,0.00226662,3350.986545,227742.70625715004
200,0.00268523,3890.501258,231633.20751515005
201,0.00231446,2620.470166,234253.67768115006
202,0.00204944,1539.594445,235793.27212615006
203,0.00133089,2716.325758,238509.59788415005
204,1e-05,299.1887666,238808.78665075006
205,0.00311353,4017.487059,242826.27370975006
206,0.00156798,1818.224596,244644.49830575008
207,0.00212735,690.9038481,245335.40215385007
208,0.00237628,2029.435579,247364.83773285008
209,0.00190272,2561.997759,249926.83549185007
210,0.00222826,1646.544528,251573.38001985007
211,0.00274941,1713.066464,253286.44648385007
212,0.00179141,1620.283733,254906.73021685006
213,1e-05,1119.357997,256026.08821385007
214,0.01557522,111.9311105,256138.01932435008
215,0.00167359,2629.562725,258767.58204935008
216,1e-05,628.714445,259396.29649435007
217,0.00173706,1888.328996,261284.62549035007
218,0.00121621,4794.211125,266078.83661535004
219,0.0396875,32.63516096,266111.47177631006
220,0.00080233,1368.325429,267479.7972053101
221,0.00097782,4193.568041,271673.3652463101
222,0.00154525,1353.271914,273026.63716031006
223,0.00153999,2013.055237,275039.69239731005
224,1e-05,1234.179979,276273.87237631006
225,0.00516507,1355.376346,277629.24872231006
226,0.00075204,3527.746318,281156.9950403101
227,0.00095425,1267.064444,282424.0594843101
228,1e-05,149.358507,282573.4179913101
229,0.00094631,1794.124347,284367.5423383101
230,0.0020168,1301.769578,285669.3119163101
231,0.00090149,3353.547515,289022.8594313101
232,0.00149075,1667.267783,290690.1272143101
233,0.00080122,1637.575969,292327.7031833101
234,0.00171834,770.0243874,293097.7275707101
235,0.00054973,1909.611523,295007.3390937101
236,1e-05,2044.688376,297052.0274697101
237,0.00321309,1485.168961,298537.1964307101
238,0.00033333,60.53623759,298597.7326683001
239,0.00038888,284.7492457,298882.4819140001
240,0.00038888,254.3979525,299136.8798665001
241,0.00162824,1382.036732,300518.9165985001
242,0.001044,1151.85504,301670.7716385001
243,0.0009839,2186.305807,303857.0774455001
244,1e-05,158.5629865,304015.6404320001
245,0.00063424,471.4961795,304487.1366115001
246,0.00260869,91.90795173,304579.0445632301
247,0.00162162,37.18054285,304616.2251060801
248,0.00025614,973.9215484,305590.14665448014
249,0.0015695,1992.424989,307582.57164348016
250,0.00091176,338.497541,307921.0691844802
251,0.00120331,238.9421133,308160.0112977802
252,1e-05,23.93950792,308183.9508057002
253,0.00088414,1302.575126,309486.5259317002
254,0.00040583,1566.550315,311053.0762467002
255,0.00045248,665.2251227,311718.3013694002
256,0.00101571,822.7020013,312541.0033707002
257,0.00065798,1461.377212,314002.3805827002
258,0.00075471,1330.47898,315332.8595627002
259,0.00106214,878.2029642,316211.0625269002
260,0.00067975,1847.455774,318058.5183009002
261,0.00067975,785.7975854,318844.3158863002
262,0.00050061,7272.226603,326116.5424893002
263,0.00077378,5915.908713,332032.4512023002
264,0.0010964,526.5507015,332559.0019038002
265,0.00053569,8837.901945,341396.90384880017
266,1e-05,6172.958861,347569.8627098002
267,1e-05,100.3154343,347670.1781441002
268,1e-05,7410.665468,355080.8436121002
269,1e-05,2356.780956,357437.62456810015
270,1e-05,866.221989,358303.8465571001
271,1e-05,8091.75588,366395.60243710014
272,0.00071017,9205.89883,375601.50126710016
273,0.00016513,5992.793494,381594.29476110014
274,0.00024225,2507.291038,384101.58579910017
275,0.00019207,4933.58979,389035.17558910017
276,0.00024141,13432.32697,402467.50255910016
277,1e-05,184.295463,402651.7980221002
278,1e-05,1504.696196,404156.49421810015
279,0.00107565,1928.356105,406084.85032310017
280,1e-05,9594.428621,415679.27894410014
281,0.00034371,4974.436332,420653.71527610015
282,1e-05,1444.879438,422098.5947141001
283,1e-05,1931.944304,424030.5390181001
284,1e-05,2047.611795,426078.1508131001
285,1e-05,997.2138586,427075.3646717001
286,1e-05,283.9823562,427359.3470279001